City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,ust-nera,64.5431,143.115,288.29,55,29,2.6,1720403376,Russia
1,iskateley,67.6514,53.0783,290.42,62,22,3.9,1720403379,Russia
2,plunge,55.8955,21.8015,283.46,87,92,1.29,1720403381,Lithuania
3,port-aux-francais,-49.3649,70.2099,275.45,83,90,13.16,1720403384,France
4,matoury,4.7382,-52.4119,297.92,100,0,0.51,1720403386,France
5,mount isa,-20.889,139.3332,299.7,41,4,2.08,1720403389,Australia
6,nova vicosa,-18.001,-40.0675,292.78,94,24,1.83,1720403391,Brazil
7,cole harbour,44.6338,-63.5052,294.41,93,73,1.74,1720403394,Canada
8,papatowai,-46.5819,169.4508,282.61,74,65,5.96,1720403396,New Zealand
9,puerto natales,-52.8426,-75.7225,278.77,84,100,7.0,1720403399,Chile
10,isla mujeres,21.2015,-86.7528,302.13,86,62,6.26,1720403401,Mexico
11,bredasdorp,-34.5442,20.0221,279.55,76,98,10.86,1720403518,South Africa
12,kuta,-8.7411,115.1601,302.17,79,40,5.66,1720403521,Indonesia
13,las heras,-46.6705,-69.0183,272.16,88,98,3.3,1720403523,Argentina
14,college,31.847,-102.3883,309.06,29,0,4.02,1720403526,United States
15,vilyuchinsk,52.9121,158.39,290.57,79,100,2.24,1720403528,Russia
16,kingston,45.1889,-94.3182,295.1,78,0,0.0,1720403531,United States
17,tura,47.3489,0.6528,285.26,82,0,1.03,1720403534,France
18,codrington,51.4882,-2.4137,284.08,88,2,0.45,1720403536,United Kingdom
19,puerto madryn,-42.8769,-65.2087,275.44,67,7,3.89,1720403539,Argentina
20,utrik,11.2078,169.8274,301.02,80,100,7.63,1720403541,Marshall Islands
21,blackmans bay,-43.0253,147.3001,284.86,96,4,0.89,1720403544,Australia
22,palmer,42.1412,-72.3955,298.97,84,20,0.0,1720403546,United States
23,mae hong son,17.5665,97.3438,299.37,83,88,0.6,1720403548,Thailand
24,haiku-pauwela,20.9293,-156.3208,301.4,60,20,11.83,1720403551,United States
25,malango,0.4859,121.8074,299.78,88,97,1.47,1720403553,Indonesia
26,aasiaat,68.5496,-53.0113,278.18,85,44,3.75,1720403556,Greenland
27,albany,42.6135,-73.8975,297.65,78,0,1.55,1720403558,United States
28,iqaluit,63.7085,-68.6012,280.31,81,75,2.57,1720403561,Canada
29,gagliano del capo,39.7937,18.3433,298.75,65,0,4.12,1720403563,Italy
30,udachny,66.3976,112.2321,295.27,46,100,7.3,1720403566,Russia
31,minas de marcona,-15.2319,-75.1303,284.25,91,97,5.75,1720403568,Peru
32,nar'yan-mar,67.6061,52.9031,290.37,62,52,4.01,1720403571,Russia
33,grytviken,-54.3006,-36.5298,266.59,54,6,1.98,1720403573,South Georgia and the South Sandwich Islands
34,boca do acre,-9.592,-69.212,297.71,68,99,0.54,1720403576,Brazil
35,lata,-10.7642,165.7578,300.81,80,72,7.74,1720403578,Solomon Islands
36,petropavlovsk-kamchatsky,52.885,158.522,291.53,88,100,2.42,1720403581,Russia
37,ushuaia,-54.8587,-68.4597,276.29,87,75,10.29,1720403583,Argentina
38,atafu village,-13.0959,165.1709,299.66,77,86,12.11,1720403586,Not Found
39,adamstown,40.2326,-76.0769,299.63,69,6,0.34,1720403588,United States
40,kataragama,6.3736,81.2924,298.91,65,85,7.18,1720403591,Sri Lanka
41,margate,26.2107,-80.234,304.15,76,0,5.14,1720403593,United States
42,bethel,45.3921,-93.2807,297.13,68,0,0.0,1720403596,United States
43,secunda,-26.6761,29.0428,276.76,61,0,4.5,1720403599,South Africa
44,avarua,-21.2409,-159.964,296.23,78,75,2.06,1720403601,Cook Islands
